Juz,Nama Surah
1,Al-Faatihah 1:1
2,Al-Baqarah 2:142
3,Al-Baqarah 2:253
4,A-li'Imraan 3:92
5,An-Nisaa' 4:24
6,An-Nisaa' 4:148
7,Al-Maaidah 5:83
8,Al-An'aam 6:11
9,Al-A'raaf 7:88
10,Al-Anfaal 8:41
11,At-Taubah 9:94
12,Hud 11:6
13,Yusuf 12:53
14,Al-Hijr 15:2
15,Al-Israa' 17:1
16,Al-Kahfi 18:75
17,Al-Anbiyaa' 21:1
18,Al-Mu'minuun 23:1
19,Al-Furqaan 25:21
20,An-Naml 27:60
21,Al-'Ankabuut 29:45
22,Al-Ahzaab 33:31
23,Yaa Siin 36:22
24,Az-Zumar 39:32
25,Fussilat 41:47
26,Al-Ahqaaf 46:1
27,Adz-Dzaariyaat 51:31
28,Al-Mujaadalah 58:1
29,Al-Mulk 67:1
30,An-Naba' 78:1
