Surah,Nama_Surah,Ayat
1,1) Al-Faatihah,7
2,2) Al-Baqarah,286
3,3) A-li'Imraan,200
4,4) An-Nisaa',176
5,5) Al-Maaidah,120
6,6) Al-An'aam,165
7,7) Al-A'raaf,206
8,8) Al-Anfaal,75
9,9) At-Taubah,129
10,10) Yunus,109
11,11) Hud,123
12,12) Yusuf,111
13,13) Ar-Ra'd,43
14,14) Ibrahim,52
15,15) Al-Hijr,99
16,16) Al-Nahl,128
17,17) Al-Israa',111
18,18) Al-Kahfi,110
19,19) Maryam,98
20,20) Taha,135
21,21) Al-Anbiyaa',112
22,22) Al-Hajj,78
23,23) Al-Mu'minuun,118
24,24) An-Nuur,64
25,25) Al-Furqaan,77
26,26) Asy-Syu'araa',227
27,27) An-Naml,93
28,28) Al-Qasas,88
29,29) Al-'Ankabuut,69
30,30) Ar-Ruum,60
31,31) Luqman,34
32,32) As-Sajdah,30
33,33) Al-Ahzaab,73
34,34) Saba',54
35,35) Faatir,45
36,36) Yaa Siin,83
37,37) As-Saaffaat,182
38,38) Saad,88
39,39) Az-Zumar,75
40,40) Ghaafir,85
41,41) Fussilat,54
42,42) Asy-Syuura,53
43,43) Az-Zukhruf,89
44,44) Ad-Dukhaan,59
45,45) Al-Jaathiyah,37
46,46) Al-Ahqaaf,35
47,47) Muhammad,38
48,48) Al-Fat-h,29
49,49) Al-Hujuraat,18
50,50) Qaaf,45
51,51) Adz-Dzaariyaat,60
52,52) At-Tuur,49
53,53) An-Najm,62
54,54) Al-Qamar,55
55,55) Ar-Rahmaan,78
56,56) Al-Waaqi'ah,96
57,57) Al-Hadiid,29
58,58) Al-Mujaadalah,22
59,59) Al-Hasy-r,24
60,60) Al-Mumtahanah,13
61,61) As-Saff,14
62,62) Al-Jumu'ah,11
63,63) Al-Munaafiquun,11
64,64) At-Taghaabun,18
65,65) At-Talaaq,12
66,66) At-Tahriim,12
67,67) Al-Mulk,30
68,68) Al-Qalam,52
69,69) Al-Haaqqah,52
70,70) Al-Ma'aarij,44
71,71) Nuh,28
72,72) Al-Jinn,28
73,73) Al-Muzzammil,20
74,74) Al-Muddaththir,56
75,75) Al-Qiaamah,40
76,76) Al-Insaan,31
77,77) Al-Mursalaat,50
78,78) An-Naba',40
79,79) An-Naazi'aat,46
80,80) 'Abasa,42
81,81) At-Takwiir,29
82,82) Al-Infitaar,19
83,83) Al-Mutaffifiin,36
84,84) Al-Insyiqaaq,25
85,85) Al-Buruuj,22
86,86) At-Taariq,17
87,87) Al-A'laa,19
88,88) Al-Ghaasyiyah,26
89,89) Al-Fajr,30
90,90) Al-Balad,20
91,91) Asy-Syams,15
92,92) Al-Lail,21
93,93) Adh-Dhuha,11
94,94) Ash-Syar-h,8
95,95) At-Tiin,8
96,96) Al-'Alaq,19
97,97) Al-Qadr,5
98,98) Al-Bayyinah,8
99,99) Az-Zalzalah,8
100,100) Al-'Aadiyaat,11
101,101) Al-Qaari'ah,11
102,102) At-Takaathur,8
103,103) Al-'Asr,3
104,104) Al-Humazah,9
105,105) Al-Fiil,5
106,106) Quraisy,4
107,107) Al-Maa'uun,7
108,108) Al-Kauthar,3
109,109) Al-Kaafiruun,6
110,110) An-Nasr,3
111,111) Al-Masad,5
112,112) Al-Ikhlaas,4
113,113) Al-Falaq,5
114,114) An-Naas,6
